b,d,a/d,fc,p,Ef,FRP Type,V
250,305,1.5,34.5,0.86,46,3,155.8
250,310,1.5,34.5,0.42,144,2,87.3
200,225,1.82,40.5,0.5,145,2,96.18
150,223,2.2,44.88,1.283,45,3,44.7
150,223,1.1,43.2,1.283,46,3,81
200,215.5,1.5,30,0.33,146.2,2,85.1
150,215.5,1.5,30,0.44,146.2,2,45.3
150,215.5,1.5,30,0.44,146.2,2,56.4
150,213.5,1.5,30,0.79,147.9,2,79.8
150,213.5,1.5,30,0.79,147.9,2,78.6
200,215.5,2,30,0.33,146.2,2,48.9
150,215.5,2,30,0.44,146.2,2,44.3
150,215.5,2,30,0.44,146.2,2,43.4
150,213.5,2,30,0.79,147.9,2,56.9
200,215.5,1.5,30,0.33,48.2,3,60
200,215.5,1.5,30,0.33,48.2,3,67.1
150,215.5,1.5,30,0.44,48.2,3,65
150,215.5,1.5,30,0.44,48.2,3,58.8
150,213.5,1.5,30,0.79,49.1,3,70.8
150,213.5,1.5,30,0.79,49.1,3,77.2
200,215.5,2,30,0.33,48.2,3,50.2
150,215.5,2,30,0.44,48.2,3,41
150,215.5,2,30,0.44,48.2,3,45.4
150,213.5,2,30,0.79,49.1,3,42.5
150,250,1,20,0.84,55,3,85
150,250,1,20,1.21,48,3,92
150,250,1,20,1.81,48,3,165
150,250,1.5,20,0.84,55,3,88
150,250,1.5,20,1.21,48,3,115
150,250,1.5,20,1.81,48,3,126
150,250,1,40,1.26,55,3,128
150,250,1,40,1.81,48,3,185
150,250,1,40,2.68,53,3,155
150,250,1.5,40,1.26,55,3,78
150,250,1.5,40,1.81,48,3,118
150,250,1.5,40,2.68,53,3,78
400,250,2,52,0.57,47.5,3,84
400,250,2,52,1.14,47.5,3,119.5
400,250,2,51,2.28,47.5,3,201.5
200,222,1.08,43,0.92,51,3,153.4
200,222,1.3,43,0.92,51,3,130.8
200,222,1.52,43,0.92,51,3,116.55
200,222,1.08,43,1.38,51,3,182.8
200,222,1.08,43,1.84,51,3,230.35
200,272,1.04,43,1.12,51,3,157.4
200,322,1,43,1.26,51,3,216.3
200,222,1.08,51,0.92,51,3,220.8
200,222,1.08,65,0.92,51,3,237.35
250,326,1.69,40,0.78,134,2,179.5
250,326,1.69,40,0.78,42,3,164.5
250,326,1.69,40,1.24,134,2,195
250,326,1.69,40,1.24,42,3,175
250,326,1.69,40,1.71,134,2,233.5
250,326,1.69,40,1.71,42,3,196
250,326,1.3,40,1.24,134,2,372
250,326,1.3,40,1.24,42,3,269
250,326,0.92,40,1.24,42,3,451
200,250,1.4,26.1,0.38,81,0,136
200,250,1.7,26.1,0.38,81,0,99
